id,type,level,group,rewardid,array,machine,star,url,name,value
,,,,,,,,,,
怪物组id,怪物组类型,怪物组等级,怪物,奖励组id,法阵,器械,资源等级,模型,怪物名字,战力
1,1,20,70001;70145;70114;70105,0,0,0,1,0,0,5000
2,1,20,70018;70010;70106;70186,0,0,0,1,0,0,11000
3,1,20,70058;70066;70108;70106,0,0,0,1,0,0,19000
4,1,50,70061;70069;70111;70109,0,0,0,2,0,0,220000
5,1,60,70086;70069;70118;70149,0,0,0,2,0,0,210000
6,1,70,70094;70102;70110;70190,0,0,0,2,0,0,280000
7,1,90,70063;70087;70214;70206,0,0,0,3,0,0,497000
8,1,90,70063;70047;70198;70222,0,0,0,3,0,0,497000
9,1,90,70087;70047;70214;70222,0,0,0,3,0,0,497000
25,2,19,50000;50000;50034;50034;50034,91001,0,0,0,10036,乱兵,1000
26,2,25,50014;50014;50034;50034;50034,91002,0,0,0,10035,女贼,2000
27,2,30,50024;50024;50035;50035;50035,91003,0,0,0,10035,女贼,3000
28,2,35,50029;50029;50039;50039;50039,91004,0,0,0,10022,飞贼,4000
29,2,40,50040;50040;50029;50029;50029,91005,0,0,0,10033,道士,5000
30,2,45,50050;50050;50080;50080;50080,91006,0,0,0,10041,女道士,6000
31,2,50,50060;50060;50090;50090;50090,91007,0,0,0,10037,少林僧,7000
32,2,55,50070;50070;50100;50100;50100,91008,0,0,0,10015,山匪,8000
33,2,60,50080;50080;50110;50110;50110,91009,0,0,0,10038,恶家丁,9000
34,2,65,50090;50090;50120;50120;50120,91010,0,0,0,10040,舞女,10000
35,2,70,50100;50100;50130;50130;50130,91011,0,0,0,10040,舞女,11000
36,2,75,50110;50110;50140;50140;50140,91012,0,0,0,10032,噬魂美人,12000
37,2,80,50120;50120;50150;50150;50150,91013,0,0,0,10033,道士,13000
38,2,85,50130;50130;50160;50160;50160,91014,0,0,0,10041,女道士,14000
39,2,90,50140;50140;50170;50170;50170,91015,0,0,0,10037,少林僧,15000
40,2,95,50150;50150;50180;50180;50180,91016,0,0,0,10015,山匪,16000
41,2,100,50160;50160;50190;50190;50190,91017,0,0,0,10038,恶家丁,17000
